k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.97456,0.97456,159129783.22499174,40.2
10,ls,1,0.0,0.0,0.0,0.0
10,Tkm++,0.125,0.977,0.977,148885513.70395812,69.76
10,Tkm++,0.25,0.977,0.977,148825104.03842026,75.16
10,Tkm++,0.5,0.9770266666666666,0.9770266666666666,148848992.9732727,78.76
10,Tkm++,0.75,0.9769733333333335,0.9769733333333335,148941725.36213493,67.16
10,Tkm++,1,0.977,0.977,148868259.56617373,79.88
10,Tkm++,2,0.97696,0.97696,148809201.76893392,70.47999999999999
10,Tkm++,5,0.9770533333333333,0.9770533333333333,148765261.23281914,71.8
20,km++,1,0.9686266666666666,0.9686266666666666,154588753.6421053,47.720000000000006
20,ls,1,0.0,0.0,0.0,0.0
20,Tkm++,0.125,0.97384,0.97384,142360372.73180136,84.03999999999999
20,Tkm++,0.25,0.9738800000000001,0.9738800000000001,142342945.9526915,89.0
20,Tkm++,0.5,0.9738666666666667,0.9738666666666667,142313226.75113368,80.96000000000001
20,Tkm++,0.75,0.9739066666666668,0.9739066666666668,142268387.8186715,87.56000000000002
20,Tkm++,1,0.9738,0.9738,142377353.23866898,83.76
20,Tkm++,2,0.9738933333333334,0.9738933333333334,142324500.87226516,82.16000000000001
20,Tkm++,5,0.9738533333333335,0.9738533333333335,142323484.046718,84.16
30,km++,1,0.9679066666666667,0.9679066666666667,150851200.788428,44.279999999999994
30,ls,1,0.0,0.0,0.0,0.0
30,Tkm++,0.125,0.9757866666666667,0.9757866666666667,138977248.5427382,93.08
30,Tkm++,0.25,0.97584,0.97584,138941777.40212983,91.63999999999999
30,Tkm++,0.5,0.9759066666666666,0.9759066666666666,139026059.60189757,90.31999999999998
30,Tkm++,0.75,0.9758800000000001,0.9758800000000001,138979067.05920961,92.0
30,Tkm++,1,0.9759066666666667,0.9759066666666667,139011262.14801663,94.24
30,Tkm++,2,0.9759733333333334,0.9759733333333334,138950566.01663932,94.28
30,Tkm++,5,0.9758666666666667,0.9758666666666667,139012638.5258327,92.08
