k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.9607999999999999,0.9607999999999999,4173211.522186252,1.08
10,ls,1,0.0,0.0,0.0,0.0
10,Tkm++,0.125,0.97776,0.97776,4169415.850787668,54.760000000000005
10,Tkm++,0.25,0.9776,0.9776,4167689.212406028,49.52
10,Tkm++,0.5,0.97736,0.97736,4167724.405493942,47.4
10,Tkm++,0.75,0.9768000000000001,0.9768000000000001,4164375.0258814977,49.519999999999996
10,Tkm++,1,0.9779200000000001,0.9779200000000001,4168878.470153746,50.720000000000006
10,Tkm++,2,0.9776,0.9776,4168309.8872139575,45.96
10,Tkm++,5,0.97728,0.97728,4166063.9628085955,51.56
20,km++,1,0.9388799999999999,0.9388799999999999,4046443.9834856987,1.1199999999999999
20,ls,1,0.0,0.0,0.0,0.0
20,Tkm++,0.125,0.9738399999999998,0.9738399999999998,4115634.5513532483,74.08
20,Tkm++,0.25,0.9733599999999999,0.9733599999999999,4115140.7004630296,67.76
20,Tkm++,0.5,0.97312,0.97312,4112852.495203933,70.52000000000001
20,Tkm++,0.75,0.9735199999999999,0.9735199999999999,4113414.53096936,63.92
20,Tkm++,1,0.9743999999999999,0.9743999999999999,4119047.9967617043,73.35999999999999
20,Tkm++,2,0.9737600000000001,0.9737600000000001,4116542.413494946,66.96000000000001
20,Tkm++,5,0.9732799999999999,0.9732799999999999,4113107.352430643,67.0
30,km++,1,0.9246399999999999,0.9246399999999999,3956768.2330398387,2.32
30,ls,1,0.0,0.0,0.0,0.0
30,Tkm++,0.125,0.97912,0.97912,4119979.644460071,75.96000000000001
30,Tkm++,0.25,0.9778399999999999,0.9778399999999999,4114246.3524557143,73.2
30,Tkm++,0.5,0.9781599999999999,0.9781599999999999,4115889.3325753,76.64000000000001
30,Tkm++,0.75,0.9788,0.9788,4120009.7302845595,74.84
30,Tkm++,1,0.97768,0.97768,4114373.6181146884,73.08
30,Tkm++,2,0.9779199999999999,0.9779199999999999,4114726.1607607557,73.96000000000001
30,Tkm++,5,0.9785599999999999,0.9785599999999999,4119005.5456455187,72.32
