k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.9605599999999999,0.9605599999999999,2211506.3719947725,2.0
10,ls,1,0.0,0.0,0.0,0.0
10,Tkm++,0.001,0.97752,0.97752,2160346.026608359,50.56
10,Tkm++,0.125,0.97736,0.97736,2160172.343361563,49.04
10,Tkm++,0.25,0.97736,0.97736,2159994.431091173,53.040000000000006
10,Tkm++,0.5,0.97744,0.97744,2160064.075546478,51.4
10,Tkm++,0.75,0.97736,0.97736,2160376.702761425,50.11999999999999
10,Tkm++,1,0.9773600000000002,0.9773600000000002,2160288.9335523257,51.279999999999994
15,km++,1,0.95408,0.95408,2188333.7280824324,1.48
15,ls,1,0.0,0.0,0.0,0.0
15,Tkm++,0.001,0.9792799999999999,0.9792799999999999,2148856.7135784747,59.56
15,Tkm++,0.125,0.9803999999999998,0.9803999999999998,2151394.609325939,63.519999999999996
15,Tkm++,0.25,0.9799200000000001,0.9799200000000001,2151023.2480463507,59.879999999999995
15,Tkm++,0.5,0.9803200000000001,0.9803200000000001,2151253.5418585846,60.08
15,Tkm++,0.75,0.9803999999999998,0.9803999999999998,2151174.268011239,62.120000000000005
15,Tkm++,1,0.9803999999999998,0.9803999999999998,2151589.035178189,60.35999999999999
20,km++,1,0.9361599999999999,0.9361599999999999,2158796.5434399033,1.52
20,ls,1,0.0,0.0,0.0,0.0
20,Tkm++,0.001,0.9712,0.9712,2139379.7290898375,70.04
20,Tkm++,0.125,0.9712799999999999,0.9712799999999999,2139902.2911435487,66.96
20,Tkm++,0.25,0.9720000000000001,0.9720000000000001,2141950.2799328216,68.16
20,Tkm++,0.5,0.9712,0.9712,2139675.459883763,68.03999999999999
20,Tkm++,0.75,0.97104,0.97104,2138860.947329539,63.67999999999999
20,Tkm++,1,0.9716799999999999,0.9716799999999999,2139910.030163444,66.96000000000001
25,km++,1,0.9323200000000001,0.9323200000000001,2126106.240917116,4.319999999999999
25,ls,1,0.0,0.0,0.0,0.0
25,Tkm++,0.001,0.9764799999999999,0.9764799999999999,2131602.9797744704,66.72
25,Tkm++,0.125,0.9756,0.9756,2130687.123635111,74.11999999999999
25,Tkm++,0.25,0.9766400000000001,0.9766400000000001,2131688.074912303,73.52000000000001
25,Tkm++,0.5,0.9763200000000001,0.9763200000000001,2131676.912163198,70.11999999999999
25,Tkm++,0.75,0.97624,0.97624,2131782.880657573,72.2
25,Tkm++,1,0.976,0.976,2130880.3797333115,69.68
