k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.95536,0.95536,2194799.0057086246,1.6
10,ls,1,0.943824940858398,0.9832000000000001,2174397.540381551,19.6
10,Tkm++,0.125,0.9896,0.9896,2180455.850090831,50.279999999999994
10,Tkm++,0.25,0.9888,0.9888,2178811.338787677,44.64
10,Tkm++,0.5,0.9897600000000001,0.9897600000000001,2180000.23505132,51.839999999999996
10,Tkm++,0.75,0.9896,0.9896,2179916.052382873,46.84
10,Tkm++,1,0.98896,0.98896,2179426.8260583645,48.28
10,Tkm++,2,0.9889599999999998,0.9889599999999998,2178688.129224282,51.92
10,Tkm++,5,0.9892799999999999,0.9892799999999999,2178842.730421974,52.11999999999999
20,km++,1,0.9128000000000002,0.9128000000000002,2095277.9160942063,1.08
20,ls,1,0.9008958990536279,0.9408,2072024.4805437173,22.8
20,Tkm++,0.125,0.9832000000000001,0.9832000000000001,2149419.660350571,64.47999999999999
20,Tkm++,0.25,0.98512,0.98512,2154201.561754733,70.24
20,Tkm++,0.5,0.9847999999999999,0.9847999999999999,2153068.12684027,73.16
20,Tkm++,0.75,0.9844800000000001,0.9844800000000001,2152071.719271507,72.11999999999999
20,Tkm++,1,0.9856000000000001,0.9856000000000001,2155007.650520991,67.36
20,Tkm++,2,0.9849600000000001,0.9849600000000001,2153377.9916068995,70.36
20,Tkm++,5,0.9835200000000001,0.9835200000000001,2150626.750120343,70.72
30,km++,1,0.8700800000000001,0.8700800000000001,2005913.7429807377,2.4799999999999995
30,ls,1,0.9016,0.9016,1994099.642192904,18.6
30,Tkm++,0.125,0.9792000000000002,0.9792000000000002,2144403.431768283,72.6
30,Tkm++,0.25,0.97952,0.97952,2145896.2082631676,75.52000000000001
30,Tkm++,0.5,0.9819199999999999,0.9819199999999999,2149883.611187714,71.0
30,Tkm++,0.75,0.98112,0.98112,2148599.1479145796,77.32000000000001
30,Tkm++,1,0.9796799999999999,0.9796799999999999,2145881.402159227,75.64000000000001
30,Tkm++,2,0.98064,0.98064,2147266.024925365,74.8
30,Tkm++,5,0.97936,0.97936,2144585.5807863995,72.96000000000001
