k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.6190367346938775,0.6190367346938775,7726552.740898554,41.0
10,ls,1,0.0,0.0,0.0,0.0
10,Tkm++,0.125,0.6538829931972789,0.6538829931972789,7441111.26340843,33.33333333333333
10,Tkm++,0.25,0.6707047619047619,0.6707047619047619,7495092.57446075,40.46666666666667
10,Tkm++,0.5,0.6674938775510204,0.6674938775510204,7439527.514080103,39.13333333333334
10,Tkm++,0.75,0.662356462585034,0.662356462585034,7351952.59103349,37.4
10,Tkm++,1,0.6680816326530612,0.6680816326530612,7438058.203792433,36.0
10,Tkm++,2,0.6705414965986394,0.6705414965986394,7533161.24819687,30.73333333333333
10,Tkm++,5,0.6775673469387755,0.6775673469387755,7557262.795327936,38.46666666666667
20,km++,1,0.6419537414965986,0.6419537414965986,5936156.260198958,62.533333333333324
20,ls,1,0.0,0.0,0.0,0.0
20,Tkm++,0.125,0.7115972789115647,0.7115972789115647,5611754.427968944,50.733333333333334
20,Tkm++,0.25,0.6896272108843537,0.6896272108843537,5647108.767465526,51.46666666666666
20,Tkm++,0.5,0.6899210884353741,0.6899210884353741,5637427.64384876,50.93333333333333
20,Tkm++,0.75,0.6972571428571428,0.6972571428571428,5622623.2983028535,55.93333333333332
20,Tkm++,1,0.694960544217687,0.694960544217687,5624853.459188628,53.666666666666664
20,Tkm++,2,0.6960925170068026,0.6960925170068026,5639679.655391827,49.86666666666666
20,Tkm++,5,0.7047401360544218,0.7047401360544218,5605869.115142474,47.2
30,km++,1,0.6300843537414966,0.6300843537414966,5164635.440761504,58.8
30,ls,1,0.0,0.0,0.0,0.0
30,Tkm++,0.125,0.6874884353741496,0.6874884353741496,4858380.18785127,54.46666666666666
30,Tkm++,0.25,0.6990476190476189,0.6990476190476189,4866957.969355284,58.26666666666667
30,Tkm++,0.5,0.6901768707482994,0.6901768707482994,4853001.075883797,63.0
30,Tkm++,0.75,0.7011482993197279,0.7011482993197279,4876218.52590499,58.33333333333333
30,Tkm++,1,0.7013224489795918,0.7013224489795918,4887121.206975687,52.26666666666667
30,Tkm++,2,0.699891156462585,0.699891156462585,4816825.704435404,56.466666666666676
30,Tkm++,5,0.705360544217687,0.705360544217687,4867181.013925871,55.33333333333333
