n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall,prec sd,recall sd
10120,15,20,50,100,5,10,5210.0,5110.0,5210.0,5110.0,5210.0,5110.0,5310.0,5210.0,5310.0,5210.0,5200.0,0.491,0.5,0.491,0.5,0.007000000000000002,0.007000000000000002
10120,15,20,50,100,5,11,4709.0,4609.0,4609.0,4709.0,4709.0,4709.0,4609.0,4709.0,4809.0,4609.0,4679.0,0.543,0.5499999999999999,0.543,0.5499999999999999,0.006403124237432854,0.006403124237432854
10120,15,20,50,100,5,12,4208.0,4208.0,4308.0,4308.0,4108.0,4208.0,4108.0,4108.0,4108.0,4108.0,4178.0,0.5929999999999999,0.5999999999999999,0.5929999999999999,0.5999999999999999,0.007810249675906634,0.007810249675906634
10120,15,20,50,100,5,13,3707.0,3607.0,3907.0,3807.0,3707.0,3607.0,3707.0,3707.0,3607.0,3707.0,3707.0,0.6399999999999999,0.6500000000000001,0.6399999999999999,0.6500000000000001,0.008944271909999192,0.008944271909999192
10120,15,20,50,100,5,14,3206.0,3506.0,3106.0,3106.0,3206.0,3306.0,3106.0,3406.0,3106.0,3206.0,3226.0,0.6880000000000001,0.7000000000000001,0.6880000000000001,0.7000000000000001,0.013266499161421601,0.013266499161421601
10120,15,20,50,100,5,15,2805.0,2605.0,2805.0,2705.0,2705.0,2705.0,2705.0,2705.0,2805.0,2905.0,2745.0,0.736,0.75,0.736,0.75,0.007999999999999998,0.007999999999999998
10120,15,20,50,100,5,16,2404.0,2304.0,2204.0,2204.0,2104.0,2304.0,2504.0,2304.0,2404.0,2204.0,2294.0,0.7810000000000001,0.7999999999999999,0.7810000000000001,0.7999999999999999,0.011357816691600535,0.011357816691600535
10120,15,20,50,100,5,17,1703.0,1903.0,1603.0,1703.0,1603.0,2003.0,1803.0,1903.0,1703.0,1803.0,1773.0,0.833,0.8499999999999999,0.833,0.8499999999999999,0.012688577540449544,0.012688577540449544
10120,15,20,50,100,5,18,1302.0,1302.0,1202.0,1302.0,1302.0,1202.0,1102.0,1402.0,1102.0,1702.0,1292.0,0.881,0.9000000000000001,0.881,0.9000000000000001,0.016401219466856718,0.016401219466856718
10120,15,20,50,100,5,19,701.0,901.0,1001.0,801.0,801.0,701.0,1301.0,701.0,1001.0,801.0,871.0,0.923,0.945,0.923,0.945,0.017916472867168878,0.017916472867168878
10120,15,20,50,100,5,20,400.0,500.0,200.0,200.0,500.0,100.0,400.0,500.0,300.0,500.0,360.0,0.9739999999999999,1.0,0.9739999999999999,1.0,0.014282856857085711,0.014282856857085711
10120,15,20,50,100,5,21,99.0,399.0,299.0,199.0,99.0,99.0,99.0,99.0,99.0,199.0,169.0,0.9930000000000001,1.0,0.9930000000000001,1.0,0.01004987562112086,0.01004987562112086
10120,15,20,50,100,5,22,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,198.0,108.0,0.999,1.0,0.999,1.0,0.0030000000000000027,0.0030000000000000027
10120,15,20,50,100,5,23,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,1.0,1.0,1.0,1.0,0.0,0.0
10120,15,20,50,100,5,24,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,1.0,0.0,0.0
10120,15,20,50,100,5,25,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,1.0,1.0,1.0,1.0,0.0,0.0
10120,15,20,50,100,5,26,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,1.0,1.0,1.0,1.0,0.0,0.0
10120,15,20,50,100,5,27,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,1.0,1.0,1.0,1.0,0.0,0.0
10120,15,20,50,100,5,28,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,1.0,1.0,1.0,1.0,0.0,0.0
10120,15,20,50,100,5,29,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,1.0,1.0,1.0,1.0,0.0,0.0
