n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,2,10,50,25,1,10,24.2,425.0,25.0,25.0,25.0,24.8,224.0,23.2,24.2,224.2,104.46000000000001,0.982909090909091,0.990909090909091,0.9920000000000002,1.0,0.02782709304684948,0.01326649916142159
10035,2,10,50,25,1,11,23.2,24.0,24.0,24.0,24.0,23.8,23.0,22.6,22.8,23.8,23.520000000000003,0.9015151515151514,0.9015151515151514,1.0,1.0,0.022727272727272672,0.0
10035,2,10,50,25,1,12,22.4,23.0,22.4,23.0,23.0,22.6,22.0,21.2,22.2,22.8,22.46,0.8269230769230769,0.8269230769230769,1.0,1.0,0.019230769230769232,0.0
10035,2,10,50,25,1,13,21.2,22.0,21.8,22.0,21.4,21.4,21.0,20.2,20.4,21.6,21.3,0.7637362637362637,0.7637362637362637,1.0,1.0,0.01648351648351649,0.0
10035,2,10,50,25,1,14,20.2,21.0,20.8,21.0,20.6,20.0,20.0,19.6,19.8,20.2,20.32,0.7095238095238096,0.7095238095238096,1.0,1.0,0.014285714285714301,0.0
10035,15,10,50,25,1,10,25.0,225.0,25.0,225.0,25.0,225.0,25.0,25.0,25.0,25.0,85.0,0.9940000000000001,1.0,0.9940000000000001,1.0,0.009165151389911636,0.009165151389911636
10035,15,10,50,25,1,11,24.0,24.0,24.0,24.0,224.0,24.0,24.0,24.0,24.0,24.0,44.0,0.907272727272727,0.909090909090909,0.998,1.0,0.005454545454545424,0.0059999999999999715
10035,15,10,50,25,1,12,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.8333333333333333,0.8333333333333333,1.0,1.0,0.0,0.0
10035,15,10,50,25,1,13,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.7692307692307693,0.7692307692307693,1.0,1.0,0.0,0.0
10035,15,10,50,25,1,14,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.7142857142857143,0.7142857142857143,1.0,1.0,0.0,0.0
