n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,2,10,50,25,1,10,7025.0,7025.0,6025.0,8025.0,6025.0,4025.0,8024.0,5422.0,4439.0,6025.0,6206.0,0.39,0.39,0.39,0.39,0.13747727084867517,0.13747727084867517
10035,2,10,50,25,1,11,6024.0,6024.0,6024.0,8024.0,7023.0,7023.0,7024.0,4024.0,6024.0,7024.0,6423.8,0.32727272727272727,0.32727272727272727,0.36,0.36,0.092709445701687,0.10198039027185571
10035,2,10,50,25,1,12,6023.0,7023.0,5023.0,7023.0,5023.0,6023.0,5022.0,3022.0,7023.0,7023.0,5822.8,0.35,0.35,0.41999999999999993,0.41999999999999993,0.10408329997330665,0.12489995996796797
10035,2,10,50,25,1,13,4022.0,7022.0,3022.0,7022.0,7021.0,6022.0,4021.0,5021.0,6022.0,3022.0,5221.7,0.36923076923076925,0.36923076923076925,0.48,0.48,0.11817147304413242,0.15362291495737215
10035,2,10,50,25,1,14,5021.0,6021.0,5021.0,5021.0,4021.0,4021.0,6021.0,4020.0,4019.0,3020.0,4620.6,0.3857142857142857,0.3857142857142857,0.5399999999999999,0.5399999999999999,0.06546536707079771,0.09165151389911678
10035,15,10,50,25,1,10,8025.0,4025.0,7025.0,6025.0,7025.0,7025.0,6025.0,8025.0,7025.0,5025.0,6525.0,0.35,0.35,0.35,0.35,0.12041594578792296,0.12041594578792296
10035,15,10,50,25,1,11,8024.0,6024.0,7024.0,6024.0,7024.0,7024.0,6024.0,6024.0,8024.0,7024.0,6824.0,0.2909090909090909,0.2909090909090909,0.32,0.32,0.06803013430498075,0.07483314773547883
10035,15,10,50,25,1,12,9023.0,3023.0,6023.0,5023.0,7023.0,5023.0,6023.0,8023.0,7023.0,4023.0,6023.0,0.33333333333333337,0.33333333333333337,0.4,0.4,0.14433756729740646,0.17320508075688773
10035,15,10,50,25,1,13,6022.0,3022.0,7022.0,4022.0,6022.0,6022.0,3022.0,5022.0,8022.0,6022.0,5422.0,0.3538461538461538,0.3538461538461538,0.4600000000000001,0.4600000000000001,0.12015768732164082,0.15620499351813308
10035,15,10,50,25,1,14,6021.0,4021.0,6021.0,6021.0,5021.0,5021.0,3021.0,4021.0,7021.0,4021.0,5021.0,0.3571428571428571,0.3571428571428571,0.4999999999999999,0.4999999999999999,0.08451542547285165,0.1183215956619923
