n,d,k,rang,z,sigma,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Average
9985,2,20,50,25,144.2,243,312.2,175.8,95.2,301.6,276.6,121.6,220.6,370.4,235.222222222222
10000,2,20,50,100,300,436.6,260.8,167,299.4,268,233,263.2,246.8,174.2,261
9990,2,20,50,50,307,277,194,333.6,211.8,423.4,282,378.2,119.4,195.2,268.288888888889
9995,2,10,50,25,1286.6,1414.4,1000.4,1196.4,1091.2,810,1397.8,662.2,1998.2,1407.4,1219.77777777778
10000,2,10,50,100,1043.2,1969.2,1131.4,1773,905,1698.8,1809,1254,1140,2190,1541.15555555556
10000,2,10,50,50,1356.6,877,1109.4,1945,2402,1543.2,2400.2,1557,599.6,1469.2,1544.73333333333
9990,2,20,50,50,2097.4,2056.8,1926,2269,3133,2291.2,2070,2374.2,2483.4,1994.8,2288.71111111111
9985,2,20,50,25,1282,2077.6,2175.6,1844.6,2387.6,2042.2,2061.4,2956.8,2891.6,2215.8,2294.8
10000,2,20,50,100,2923,2823.4,2411.2,2436.6,2652.4,2628.6,2578,1530.8,2194.8,2322.4,2397.57777777778
10000,2,10,50,100,3046.4,2978.4,2778.6,3744.2,3510.8,2962.2,2772.8,3194,4031.2,2035.8,3112
10000,2,10,50,50,2969.2,3632.8,2672.6,2042.6,3034.8,3686.4,3220,3568.8,3097.6,3322.8,3142.04444444444
9995,2,10,50,25,3321.6,3883.4,2358.4,3696.2,2409.2,3539.8,3072.4,3156,3583,2666.2,3151.62222222222
9985,2,20,50,25,4466.2,4800,4024.4,4183.4,4788.2,4055.2,4209,4100.8,4291.6,4181.6,4292.68888888889
9995,2,10,50,25,4478,4075.2,4440.8,4510.6,4490,3702,4417.2,4112.2,4632.2,4430.6,4312.31111111111
10000,2,20,50,100,4287.6,4440.4,3647.6,4509.6,4608.4,4641.2,4121,4467,4823.8,4227,4387.33333333333
9990,2,20,50,50,4252,4206.6,4478.4,4540.4,4651.8,4512.8,3784.8,4447.6,4424.8,4505.8,4394.77777777778
10000,2,10,50,50,4318.8,4383,4300.2,4485.4,4568.6,4688.8,4943.6,4475,4239.6,4552.6,4515.2
10000,2,10,50,100,4426.4,4509.2,4418.8,4936.2,4140.4,4962.8,4650.2,4228.6,5082.8,3967.2,4544.02222222222
9985,15,20,50,25,9965,9964.8,9964.6,9964.8,9964.6,9964.6,9964.2,9964.8,9964.4,9964.2,9964.55555555555
9985,15,20,50,25,9964.2,9964.4,9964.8,9965,9964.4,9965,9964.4,9965,9964.8,9964.6,9964.71111111111
9985,15,20,50,25,9964.8,9964.8,9964.6,9964.8,9964.8,9964.4,9964.8,9964.6,9965,9964.8,9964.73333333333
9990,15,20,50,50,9970,9969,9968.6,9970,9969.6,9970,9969.2,9969.6,9969.8,9969.8,9969.51111111111
9990,15,20,50,50,9969.8,9969.8,9969.6,9969.6,9968.6,9969.6,9969.4,9969.4,9969.6,9970,9969.51111111111
9990,15,20,50,50,9970,9969.8,9970,9969.8,9969.6,9970,9969.8,9969.6,9969.4,9970,9969.77777777778
10000,15,20,50,100,9979.6,9979.2,9979.4,9979.6,9980,9979.8,9979.8,9979.4,9979,9979.8,9979.55555555556
10000,15,20,50,100,9979.6,9979.8,9979.2,9979.4,9979.8,9979.6,9979.6,9980,9979.8,9980,9979.68888888889
10000,15,20,50,100,9979,9979.8,9979.6,9979.4,9979.8,9980,9979.6,9979.6,9979.8,9979.8,9979.71111111111
9995,15,10,50,25,9984.6,9984.8,9984.4,9984.6,9984.6,9984.6,9984.2,9984,9984.6,9984.4,9984.46666666667
9995,15,10,50,25,9984.8,9984.8,9984.8,9984.6,9984.6,9984.2,9984.8,9984.6,9984.6,9984.8,9984.64444444444
9995,15,10,50,25,9984.4,9984.8,9984.6,9984.6,9984.6,9984.4,9984.6,9985,9984.6,9985,9984.68888888889
10000,15,10,50,100,9989.8,9989.4,9989.2,9990,9989.6,9990,9988.8,9989.8,9989.6,9989.4,9989.53333333333
10000,15,10,50,50,9989.8,9989.8,9989.6,9989.2,9989.4,9990,9990,9989.4,9989.4,9989.8,9989.62222222222
10000,15,10,50,50,9989.8,9989,9990,9989.4,9989.8,9989.8,9990,9989.8,9989.8,9989.6,9989.68888888889
10000,15,10,50,50,9989.4,9989.6,9990,9989.8,9989.6,9989.6,9989.8,9990,9989.8,9989.4,9989.73333333333
10000,15,10,50,100,9989.4,9989.4,9989.8,9989.6,9990,9989.8,9989.8,9990,9989.4,9989.8,9989.73333333333
10000,15,10,50,100,9989.6,9989.8,9990,9990,9989.6,9989.6,9989.8,9990,9989.4,9989.4,9989.73333333333
