n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,2,10,50,25,1,10,0.5,9008.0,8703.0,9014.0,8950.0,9126.0,8917.0,8801.0,8760.0,9614.0,8466.0,8935.9,0.0,0.1,0.1,0.1,0.1,0.0447213595499958,0.0447213595499958
10035,2,10,50,25,1,11,0.5,9081.0,8685.0,8890.0,8898.0,8935.0,8994.0,8829.0,8838.0,8901.0,9738.0,8978.9,0.0,0.08181818181818183,0.08181818181818183,0.09,0.09,0.027272727272727275,0.030000000000000002
10035,2,10,50,25,1,12,0.5,9054.0,8595.0,8563.0,9167.0,9008.0,8569.0,9343.0,8823.0,9102.0,8813.0,8903.7,0.0,0.08333333333333334,0.08333333333333334,0.09999999999999999,0.09999999999999999,0.03726779962499649,0.0447213595499958
10035,2,10,50,25,1,13,0.5,8933.0,9331.0,8970.0,8994.0,9173.0,8814.0,8778.0,8202.0,9024.0,8756.0,8897.5,0.0,0.06923076923076923,0.06923076923076923,0.09,0.09,0.023076923076923075,0.03
10035,2,10,50,25,1,14,0.5,9002.0,9683.0,8274.0,9287.0,9104.0,8664.0,8744.0,8746.0,8809.0,8903.0,8921.6,0.0,0.06428571428571427,0.06428571428571427,0.09,0.09,0.0384654629081036,0.053851648071345036
10035,2,10,50,25,1,10,1,8737.0,9503.0,9226.0,8593.0,9114.0,8762.0,8254.0,9455.0,9371.0,9003.0,9001.8,0.0,0.1,0.1,0.1,0.1,0.0632455532033676,0.0632455532033676
10035,2,10,50,25,1,11,1,9020.0,8707.0,8890.0,8700.0,9154.0,8373.0,8000.0,9092.0,8866.0,8712.0,8751.4,0.0,0.12575757575757576,0.12575757575757576,0.14,0.14,0.07172606290027045,0.08
10035,2,10,50,25,1,12,1,8874.0,8939.0,8931.0,8872.0,8985.0,9392.0,9355.0,9004.0,8943.0,8716.0,9001.1,0.0,0.08333333333333334,0.08333333333333334,0.1,0.1,0.05270462766947299,0.0632455532033676
10035,2,10,50,25,1,13,1,8889.0,8705.0,8884.0,8934.0,8269.0,9034.0,9176.0,8248.0,8802.0,9063.0,8800.4,0.0,0.0846153846153846,0.0846153846153846,0.11000000000000001,0.11000000000000001,0.023076923076923078,0.03
10035,2,10,50,25,1,14,1,9010.0,9023.0,9456.0,9107.0,8672.0,8659.0,8954.0,8544.0,8319.0,8989.0,8873.3,0.0,0.06428571428571428,0.06428571428571428,0.09,0.09,0.0384654629081036,0.05385164807134504
10035,2,10,50,25,1,10,2,9146.0,9530.0,8866.0,8849.0,9546.0,9003.0,9115.0,8804.0,8911.0,9327.0,9109.7,0.0,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.060000000000000005,0.060000000000000005
10035,2,10,50,25,1,11,2,9130.0,8950.0,9635.0,8649.0,9354.0,8229.0,9214.0,9240.0,8443.0,8962.0,8980.6,0.0,0.1,0.1,0.11000000000000001,0.11000000000000001,0.04895604370122277,0.05385164807134504
10035,2,10,50,25,1,12,2,9058.0,8677.0,9504.0,8806.0,8186.0,8545.0,8564.0,8578.0,8967.0,9488.0,8837.3,0.0,0.10833333333333332,0.10833333333333332,0.13,0.13,0.053359368645273735,0.0640312423743285
