n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall,prec sd,recall sd
10120,15,20,50,100,5,10,6111.8,6412.6,6011.6,6212.2,6011.6,6212.2,6011.8,5811.2,6211.8,5711.2,6071.8,0.4040000000000001,0.465,0.4040000000000001,0.465,0.019595917942265433,0.019595917942265433
10120,15,20,50,100,5,11,5711.2,5711.2,6111.8,6011.6,6112.0,5811.4,6212.2,5510.6,6011.8,5510.8,5871.460000000001,0.42400000000000004,0.48,0.42400000000000004,0.48,0.024166091947189133,0.024166091947189133
10120,15,20,50,100,5,12,5310.2,5811.4,5811.4,5410.4,5610.8,5811.2,5611.0,5310.4,5711.2,5410.6,5580.86,0.453,0.5299999999999999,0.453,0.5299999999999999,0.01951922129594316,0.01951922129594316
10120,15,20,50,100,5,13,5210.2,5210.0,5310.4,5210.2,5009.8,5109.4,5610.8,5510.6,5210.0,5510.6,5290.2,0.48200000000000004,0.54,0.48200000000000004,0.54,0.018330302779823362,0.018330302779823362
10120,15,20,50,100,5,14,5210.2,4408.6,5109.8,4809.4,4508.8,5110.0,4809.4,5310.0,4709.2,5310.4,4929.58,0.518,0.585,0.518,0.585,0.030919249667480622,0.030919249667480622
10120,15,20,50,100,5,15,4308.4,5410.4,4809.2,4809.2,5110.0,4508.6,4609.0,4308.4,4809.2,5009.8,4769.22,0.534,0.62,0.534,0.62,0.03322649545167232,0.03322649545167232
10120,15,20,50,100,5,16,4708.6,4308.2,3707.2,4608.8,4608.8,4408.4,4107.6,4709.0,4308.2,4709.0,4418.379999999999,0.5690000000000001,0.645,0.5690000000000001,0.645,0.03080584360149871,0.03080584360149871
10120,15,20,50,100,5,17,4308.4,4208.2,4708.8,4308.2,4408.4,4108.0,4408.2,4909.4,4508.2,4208.2,4408.4,0.5700000000000001,0.66,0.5700000000000001,0.66,0.02323790007724447,0.02323790007724447
10120,15,20,50,100,5,18,4108.0,4308.4,4007.8,4308.4,4308.2,4308.4,4709.0,3606.8,4208.2,3907.6,4178.08,0.5930000000000001,0.665,0.5930000000000001,0.665,0.027946377224964257,0.027946377224964257
10120,15,20,50,100,5,19,3907.6,4107.6,3907.0,3606.6,3807.4,3807.2,3406.4,4107.8,4508.2,4108.0,3927.38,0.618,0.6900000000000002,0.618,0.6900000000000002,0.028913664589601908,0.028913664589601908
10120,15,20,50,100,5,20,4308.2,3607.0,3907.6,4007.4,3306.2,3606.8,3807.2,3206.0,3706.6,3506.4,3696.94,0.6409999999999999,0.7150000000000001,0.6409999999999999,0.7150000000000001,0.031128764832546736,0.031128764832546736
10120,15,20,50,100,5,21,3206.2,3607.0,3707.2,3807.2,3206.2,3707.0,3506.4,3306.4,3306.2,3406.4,3476.6200000000003,0.6629999999999999,0.75,0.6629999999999999,0.75,0.02099999999999999,0.02099999999999999
10120,15,20,50,100,5,22,3506.4,3506.8,3606.8,3306.0,3206.0,3005.8,3406.4,3206.0,3606.8,3707.2,3406.4199999999996,0.6699999999999999,0.755,0.6699999999999999,0.755,0.020976176963403044,0.020976176963403044
10120,15,20,50,100,5,23,3206.2,2805.2,3206.0,3005.6,3005.6,4007.0,3005.6,2805.2,3106.0,3105.6,3125.7999999999997,0.6980000000000001,0.7999999999999999,0.6980000000000001,0.7999999999999999,0.03218695387886212,0.03218695387886212
10120,15,20,50,100,5,24,3606.0,2704.4,3005.8,3005.8,2904.6,3005.2,3606.6,2605.0,2805.4,3506.6,3075.54,0.7030000000000001,0.78,0.7030000000000001,0.78,0.0349428104193123,0.0349428104193123
10120,15,20,50,100,5,25,3206.0,2905.6,2604.6,2805.0,2905.0,2904.8,2604.8,2604.6,3306.0,3005.6,2885.2,0.722,0.7999999999999999,0.722,0.7999999999999999,0.02315167380558044,0.02315167380558044
10120,15,20,50,100,5,26,3205.6,2704.6,2805.0,2805.4,3206.2,3206.2,2404.4,2404.2,3005.8,2604.6,2835.2,0.7270000000000001,0.805,0.7270000000000001,0.805,0.029681644159311647,0.029681644159311647
10120,15,20,50,100,5,27,2705.0,2805.4,2604.2,3306.2,2204.2,2504.4,2805.0,2504.6,3206.0,1903.4,2654.84,0.745,0.8299999999999998,0.745,0.8299999999999998,0.03981205847478879,0.03981205847478879
10120,15,20,50,100,5,28,2805.2,2604.8,2704.8,2604.6,2304.2,2404.2,2504.8,2304.2,2504.6,2905.2,2564.66,0.7539999999999999,0.82,0.7539999999999999,0.82,0.019078784028338902,0.019078784028338902
10120,15,20,50,100,5,29,3004.8,2404.4,2404.4,2103.8,2404.4,2303.8,2404.4,2003.8,2304.2,2304.2,2364.2200000000003,0.774,0.8700000000000001,0.774,0.8700000000000001,0.0249799919935936,0.0249799919935936
