k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.9841666666666666,0.9841666666666666,126158676.99190246,40.0
10,ls,1,0.834057545620578,0.9833333333333334,129934821.88420993,2.5
10,Tkm++,0.125,0.9893333333333334,0.9893333333333334,114240953.77089185,84.75
10,Tkm++,0.25,0.9893333333333334,0.9893333333333334,114409017.59150872,76.0
10,Tkm++,0.5,0.9888333333333333,0.9888333333333333,114806615.24229762,85.5
10,Tkm++,0.75,0.9893333333333334,0.9893333333333334,114275923.91822648,81.5
10,Tkm++,1,0.9891666666666666,0.9891666666666666,114230775.56742013,70.5
10,Tkm++,2,0.9891666666666667,0.9891666666666667,114264210.93671598,97.25
10,Tkm++,5,0.989,0.989,114675946.19230416,66.75
20,km++,1,0.98,0.98,118714650.12901872,59.75
20,ls,1,0.8284958774713455,0.9773333333333334,129444967.23804158,2.0
20,Tkm++,0.125,0.9898333333333333,0.9898333333333333,108253778.76101881,91.5
20,Tkm++,0.25,0.9895,0.9895,108318418.40953326,88.25
20,Tkm++,0.5,0.9896666666666667,0.9896666666666667,108305197.44225127,98.75
20,Tkm++,0.75,0.99,0.99,108121232.60697684,86.0
20,Tkm++,1,0.9896666666666667,0.9896666666666667,108213622.67862892,99.0
20,Tkm++,2,0.9898333333333333,0.9898333333333333,108129630.82579678,86.0
20,Tkm++,5,0.9895,0.9895,108271349.36319959,87.75
30,km++,1,0.9725,0.9725,115543343.91888773,65.75
30,ls,1,0.8260375213189313,0.9686666666666667,128873059.06343806,3.0
30,Tkm++,0.125,0.9876666666666667,0.9876666666666667,104870760.10291588,97.75
30,Tkm++,0.25,0.9878333333333333,0.9878333333333333,104993367.84504628,84.5
30,Tkm++,0.5,0.9878333333333333,0.9878333333333333,104820792.83094962,88.0
30,Tkm++,0.75,0.9876666666666667,0.9876666666666667,104923250.08731447,89.75
30,Tkm++,1,0.9878333333333333,0.9878333333333333,104876248.06965858,96.75
30,Tkm++,2,0.9873333333333334,0.9873333333333334,104874805.65727086,99.0
30,Tkm++,5,0.9875,0.9875,104805979.19356051,93.5
