k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.9527999999999999,0.9527999999999999,2197074.0306671225,1.0
10,ls,1,0.883606382512583,0.976,2165661.2192974635,27.8
10,Tkm++,0.125,0.9872,0.9872,2178509.0029663527,49.56
10,Tkm++,0.25,0.9865600000000001,0.9865600000000001,2178914.3204523176,48.160000000000004
10,Tkm++,0.5,0.9879999999999999,0.9879999999999999,2181586.478269701,54.0
10,Tkm++,0.75,0.9859200000000001,0.9859200000000001,2177784.006400914,47.56
10,Tkm++,1,0.98736,0.98736,2179697.416595,51.120000000000005
10,Tkm++,2,0.98672,0.98672,2178294.775138788,48.04
10,Tkm++,5,0.98736,0.98736,2180188.5012750546,50.0
20,km++,1,0.9121600000000001,0.9121600000000001,2101373.032119059,1.32
20,ls,1,0.9240719574586406,0.9632,2120066.9346830887,34.8
20,Tkm++,0.125,0.9843200000000001,0.9843200000000001,2161194.650072015,69.84
20,Tkm++,0.25,0.98384,0.98384,2160102.296623905,72.24000000000001
20,Tkm++,0.5,0.9859199999999999,0.9859199999999999,2164119.710356475,69.0
20,Tkm++,0.75,0.9847999999999999,0.9847999999999999,2161979.813561201,68.32000000000001
20,Tkm++,1,0.9841599999999999,0.9841599999999999,2160353.962663368,68.16
20,Tkm++,2,0.98384,0.98384,2159990.124126934,63.24000000000001
20,Tkm++,5,0.98464,0.98464,2162331.14847154,65.16
30,km++,1,0.87088,0.87088,2008718.238276871,1.9600000000000002
30,ls,1,0.8897390464725563,0.9423999999999999,2070339.51892988,50.4
30,Tkm++,0.125,0.98064,0.98064,2147296.9626674787,73.6
30,Tkm++,0.25,0.98256,0.98256,2151603.257275891,77.16
30,Tkm++,0.5,0.9812800000000002,0.9812800000000002,2149739.4546312867,72.47999999999999
30,Tkm++,0.75,0.9792,0.9792,2143283.0856428244,74.84
30,Tkm++,1,0.97984,0.97984,2145928.267799235,76.44000000000001
30,Tkm++,2,0.9796799999999999,0.9796799999999999,2145751.420731457,70.0
30,Tkm++,5,0.9792,0.9792,2145253.898804528,75.72
