k,Algorithm,Beta,Precision,Recall,Cost,Iterations
10,km++,1,0.9488163265306122,0.9488163265306122,10829789.578233916,30.25
10,ls,1,nan,nan,nan,nan
10,Tkm++,0.125,0.9664897959183674,0.9664897959183674,10682935.290564803,37.0
10,Tkm++,0.25,0.9713877551020409,0.9713877551020409,10972302.155792054,29.25
10,Tkm++,0.5,0.9701224489795919,0.9701224489795919,10852581.97784405,33.0
10,Tkm++,0.75,0.9701632653061225,0.9701632653061225,10989965.95095956,35.5
10,Tkm++,1,0.9705714285714286,0.9705714285714286,10763940.791679705,50.5
10,Tkm++,2,0.9715918367346938,0.9715918367346938,11112416.614881542,29.25
10,Tkm++,5,0.9657142857142857,0.9657142857142857,10668115.875871029,36.25
20,km++,1,0.9176734693877551,0.9176734693877551,7518278.286109249,31.25
20,ls,1,nan,nan,nan,nan
20,Tkm++,0.125,0.9700408163265306,0.9700408163265306,8900568.578169622,49.75
20,Tkm++,0.25,0.9748571428571429,0.9748571428571429,9279409.448390586,43.75
20,Tkm++,0.5,0.9650612244897959,0.9650612244897959,8672746.005623125,42.0
20,Tkm++,0.75,0.9723673469387756,0.9723673469387756,9115937.704894412,52.5
20,Tkm++,1,0.9726530612244898,0.9726530612244898,8960684.3039014,45.75
20,Tkm++,2,0.9685714285714286,0.9685714285714286,8829459.254459724,72.0
20,Tkm++,5,0.9711428571428571,0.9711428571428571,9019577.158679426,50.25
30,km++,1,0.9171428571428571,0.9171428571428571,6444287.634756628,43.0
30,ls,1,nan,nan,nan,nan
30,Tkm++,0.125,0.9672244897959184,0.9672244897959184,7868638.234001482,70.5
30,Tkm++,0.25,0.970530612244898,0.970530612244898,8016890.077776379,50.75
30,Tkm++,0.5,0.9758367346938775,0.9758367346938775,7847731.264549658,37.0
30,Tkm++,0.75,0.9780408163265306,0.9780408163265306,8332843.475543514,53.75
30,Tkm++,1,0.9733877551020408,0.9733877551020408,8048705.284459038,35.0
30,Tkm++,2,0.9713061224489796,0.9713061224489796,8039790.775288869,53.0
30,Tkm++,5,0.9682857142857143,0.9682857142857143,7577550.739528494,44.25
