n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,2,10,50,25,1,10,1,97548.33710919438,74169.94695456146,40335.08458690496,19604.68031927157,73892.87060055269,111655.33896834098,191700.28947403905,81786.7121477345,114429.02225974316,42264.821728574825,84738.71041489174,12472.72260237232,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.17204650534085253,0.17204650534085253
10035,2,10,50,25,1,11,1,27981.956975579484,20448.97997047694,26420.550309670183,128700.21589278844,69588.65675157057,97057.29922633052,54346.69843836213,30816.707160622806,36750.27356676235,34780.14708319538,52689.14853753588,12472.72260237232,0.6272727272727273,0.6272727272727273,0.69,0.69,0.10325287901455044,0.1135781669160055
10035,2,10,50,25,1,12,1,37560.02049133073,104791.58449242296,22691.263097290328,61252.9509307977,21039.0775168586,196382.29511664555,18074.915011450452,77687.2345916089,102702.95313851739,26423.490337762283,66860.57847246849,12472.72260237232,0.5333333333333334,0.5333333333333334,0.6399999999999999,0.6399999999999999,0.1452966314513558,0.17435595774162693
10035,2,10,50,25,1,13,1,36494.5298479249,15563.990105232966,111373.82132587397,15852.023450283315,23496.224477348696,55665.739045608716,25124.144759823812,78472.79324569383,19867.08694255771,17318.189276846973,39922.85424771949,12472.72260237232,0.5923076923076923,0.5923076923076923,0.77,0.77,0.1378190220551455,0.17916472867168917
10035,2,10,50,25,1,14,1,18161.48676333181,17418.822090100402,15586.967308156069,14334.229413531666,28762.224009056896,47374.405178450186,128800.4806385834,16965.736959956295,48007.16514597128,16613.80120279472,35202.531870993276,12472.72260237232,0.55,0.55,0.7699999999999998,0.7699999999999998,0.10618620533798934,0.14866068747318506
10035,15,10,50,25,1,10,1,166344.91351314815,170404.32078153492,165095.10327718788,417009.76144110685,274272.07769021665,170474.8939889073,149193.051355899,304868.57841113815,700563.0669578249,288561.78523909976,280678.7552656064,37914.08534992307,0.0,0.0,0.0,0.0,0.0,0.0
10035,15,10,50,25,1,11,1,513827.0346166921,218966.42591846708,52888.911300359236,54047.9828538366,176733.75718821873,52986.65294149771,294338.39478526445,167428.4366065726,132070.45046503854,56519.45203837883,171980.7498714326,37914.08534992307,0.0,0.0,0.0,0.0,0.0,0.0
10035,15,10,50,25,1,12,1,54554.20190043679,57045.13769294843,53271.91482004241,677624.4739657561,146443.55081142564,53538.174583754786,184871.7855468204,175147.7635659685,132925.6200960154,53053.61812592127,158847.62411090898,37914.08534992307,0.0,0.0,0.0,0.0,0.0,0.0
10035,15,10,50,25,1,13,1,52638.610424899874,179002.09720290528,483186.523681405,165806.78936895353,51947.84886547898,51701.26860233253,52225.11865116871,52642.55819975353,54522.933369367616,54983.21882593622,119865.69671922014,37914.08534992307,0.0,0.0,0.0,0.0,0.0,0.0
10035,15,10,50,25,1,14,1,411274.6334389237,52641.097642558154,53791.83443935989,52783.68926746627,54145.99766692073,52352.45144209922,55034.79906620976,139921.03409684022,55597.06005343785,54966.31374325569,98250.89108570715,37914.08534992307,0.0,0.0,0.0,0.0,0.0,0.0
10060,2,10,50,50,1,10,1,181449.8185507424,95827.71393095731,88898.67711084816,133820.61301967505,137188.60288208642,66617.70195304343,92874.72896150075,200435.19379852543,139325.87273082853,177734.17083685898,131417.30937750667,12303.333190309433,0.5045454545454546,0.5045454545454546,0.51,0.51,0.09047624225852408,0.09433981132056601
10060,2,10,50,50,1,11,1,208576.562759905,76723.24691048173,67455.31780589736,73869.74467476885,128561.38567378267,78585.87670084408,188970.69673127413,134458.51511513,251138.18237207131,100185.38694495778,130852.49156891128,12303.333190309433,0.4545454545454545,0.4545454545454545,0.4999999999999999,0.4999999999999999,0.10756508696544756,0.1183215956619923
10060,2,10,50,50,1,12,1,22895.559124980427,175167.72585532325,127932.44684394136,24913.839427914732,164474.94930320344,248200.50866915326,89401.16656725414,95950.33178186939,24670.342609027997,198923.50639129753,117253.03765739655,12303.333190309433,0.4833333333333333,0.4833333333333333,0.5800000000000001,0.5800000000000001,0.15723301886761007,0.18867962264113208
10060,2,10,50,50,1,13,1,285322.3070317232,85948.90703125342,133512.6317620228,127724.27175496088,18224.25473734585,184865.6027800193,174608.07216364276,107678.7317586764,134567.16824798152,106957.23738095856,135940.91846485846,12303.333190309433,0.41538461538461535,0.41538461538461535,0.5399999999999999,0.5399999999999999,0.10434353820192721,0.13564659966250536
10060,2,10,50,50,1,14,1,63149.23574399563,113027.18169520111,93723.72415987485,16055.89087915636,14823.216248662236,25493.714429804313,94340.67172922353,87048.27885536687,154740.6691034585,109231.21233058331,77163.37951753268,12303.333190309433,0.45,0.45,0.6299999999999999,0.6299999999999999,0.1279748061940637,0.17916472867168917
10060,15,10,50,50,1,10,1,632721.46807315,562680.0800391268,274764.09256409877,703707.1531058275,673434.9628229144,172208.10114974278,588213.1343748495,818309.0931883797,599408.7906262882,733786.2582316679,575923.3134176045,37701.506646335954,0.02,0.02,0.02,0.02,0.04,0.04
10060,15,10,50,50,1,11,1,527391.7600297746,159334.5705624423,55593.61918956936,553630.5083738177,53470.918553315445,653963.7130680794,299746.65586312587,535528.8715984916,758203.5933957638,168004.84065313532,376486.90512875153,37701.506646335954,0.00909090909090909,0.00909090909090909,0.01,0.01,0.02727272727272727,0.03
10060,15,10,50,50,1,12,1,494647.11243382003,536877.019138441,53609.55339386081,454988.16779577493,53205.05613963082,545983.1604435307,556081.3399848999,150401.97315456634,616526.7755663462,700491.3059406573,416281.1463991528,37701.506646335954,0.016666666666666666,0.016666666666666666,0.02,0.02,0.03333333333333333,0.04
10060,15,10,50,50,1,13,1,58152.3678736782,380821.2346367679,686488.426637836,573232.2637435665,550788.1801925716,501177.6611180324,167699.67939189228,680498.0880838817,169836.45114351556,169778.86114685063,393847.32139685925,37701.506646335954,0.0,0.0,0.0,0.0,0.0,0.0
10060,15,10,50,50,1,14,1,51560.66799118559,166306.8737703552,53608.71293777463,331630.30719887366,548962.9741770058,170290.37665374557,52021.46835309948,53079.6195122334,585669.0518025781,530331.0736185315,254346.11260153828,37701.506646335954,0.014285714285714285,0.014285714285714285,0.02,0.02,0.02857142857142857,0.04
