n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,2,10,50,25,1,10,1,54319.175919092515,99715.08171453714,92191.93171972713,115836.51904316677,116821.44994688698,131501.2709238988,78349.95371901861,67144.88445828043,50470.203919137144,51852.061439937475,85820.2532803683,12472.72260237232,0.6,0.6,0.6,0.6,0.08944271909999157,0.08944271909999157
10035,2,10,50,25,1,11,1,98821.06414200994,116631.27446889592,67303.60404432892,74295.79293744266,98778.59785431382,132961.12846999592,152777.6161728499,57513.640353449315,59237.49142314612,124605.54107130325,98292.57509377357,12472.72260237232,0.509090909090909,0.509090909090909,0.5599999999999999,0.5599999999999999,0.04453617714151231,0.04898979485566355
10035,2,10,50,25,1,12,1,62050.197903695625,105211.85745560889,110323.76407891864,102736.90481125837,109640.78207827013,52339.63024732324,79884.73658506064,100976.32138977651,53444.77396836878,73141.1432010339,84975.01117193147,12472.72260237232,0.4749999999999999,0.4749999999999999,0.5700000000000001,0.5700000000000001,0.0650854139658888,0.07810249675906653
10035,2,10,50,25,1,13,1,71959.19605680023,72217.72548172946,59692.642306422495,91192.27689409611,69890.84676745316,57138.736101540104,70077.27810308702,122182.28476551047,80166.7741867382,60843.611414531464,75536.13720779087,12472.72260237232,0.5,0.5,0.65,0.65,0.05160156871153358,0.06708203932499368
10035,2,10,50,25,1,14,1,61691.57073684844,160516.97649207106,31220.19529038514,83798.90532426043,49890.62081275452,96570.95992246247,83524.54883143918,70768.36041178284,66466.93331971296,80780.69083927808,78522.97619809952,12472.72260237232,0.45,0.45,0.63,0.63,0.05578749768504753,0.07810249675906655
10035,15,10,50,25,1,10,1,498011.34079031984,550253.9845554847,519769.6360389075,554195.4556071016,511095.94898789015,488231.59586321074,485536.58145265636,569433.9524622291,540292.0101731273,548142.5541578291,526496.3060088756,37914.08534992307,0.02,0.02,0.02,0.02,0.04,0.04
10035,15,10,50,25,1,11,1,488579.27736222977,375594.59598665923,510488.63367570366,560718.9037310473,395560.1473673699,382069.31760590535,536500.9141539035,570776.9829682866,562572.2917400394,567011.1663550972,494987.2230946241,37914.08534992307,0.0,0.0,0.0,0.0,0.0,0.0
10035,15,10,50,25,1,12,1,496506.38408668066,465575.620577489,524420.3445738028,451494.3833288271,392584.71087991085,555153.5264290145,473170.0876654406,558737.024286276,405708.70557297,588939.2739720359,491229.00613724475,37914.08534992307,0.008333333333333333,0.008333333333333333,0.01,0.01,0.024999999999999998,0.03
10035,15,10,50,25,1,13,1,533538.0789866368,418442.8256033861,522422.60197906697,422726.7492122583,400741.4349664438,404524.03662099363,409871.17732564406,527493.6295772253,448875.1072416416,584906.1793371099,467354.1820850406,37914.08534992307,0.007692307692307693,0.007692307692307693,0.01,0.01,0.023076923076923078,0.030000000000000002
10035,15,10,50,25,1,14,1,422967.546167707,455300.87231710146,644538.5713772577,419418.93891863397,407797.2766590145,420604.20368705154,442124.1237781022,534093.711519892,430851.7704086462,446222.22191281756,462391.9236746224,37914.08534992307,0.0,0.0,0.0,0.0,0.0,0.0
10060,2,10,50,50,1,10,1,136493.7680632078,102176.29318010865,76851.7755051266,143134.60997884636,92364.2005797858,105573.5006469923,128428.12581786684,73522.16537742401,98899.44367027741,82588.33072176858,104003.22135414045,12303.333190309433,0.5399999999999999,0.5399999999999999,0.5399999999999999,0.5399999999999999,0.07999999999999999,0.07999999999999999
10060,2,10,50,50,1,11,1,46428.64486047735,73964.66857524267,101750.29464290864,101350.24152540657,120551.86632904634,49627.48717808181,107032.81973093242,62727.051966625484,92832.07476412217,110898.02588991539,86716.31754627588,12303.333190309433,0.5636363636363635,0.5636363636363635,0.6199999999999999,0.6199999999999999,0.06803013430498075,0.07483314773547882
10060,2,10,50,50,1,12,1,132275.56098884554,80592.807333212,122209.63924237405,148873.98171864776,76694.78789110994,78368.33076062745,114394.57140978269,103451.86817681185,113311.19799878134,63376.724598813395,103354.9470119006,12303.333190309433,0.4416666666666666,0.4416666666666666,0.53,0.53,0.05335936864527374,0.06403124237432847
10060,2,10,50,50,1,13,1,88236.54592809083,96066.59638426878,75591.2864828576,133550.07131484174,120808.43935301321,48847.33747408428,107653.64453526845,152923.82381720108,100168.83366942039,85879.13164476687,100972.5710603813,12303.333190309433,0.4461538461538462,0.4461538461538462,0.58,0.58,0.06705998374677959,0.08717797887081345
10060,2,10,50,50,1,14,1,101241.52172123667,130893.18684165743,90708.91210178862,92930.70646910777,61355.407012728996,73203.7358111095,94375.18386475569,72583.22667503562,94879.4592613837,124448.5250092405,93661.98647680445,12303.333190309433,0.42857142857142855,0.42857142857142855,0.6,0.6,0.06388765649999398,0.08944271909999159
10060,15,10,50,50,1,10,1,643559.9586602284,573588.9077675275,521172.8293212332,460547.376895789,711718.502041536,526706.1061470173,664466.133140215,551928.1856525098,674417.8244493771,652515.151976363,598062.0976051795,37701.506646335954,0.0,0.0,0.0,0.0,0.0,0.0
10060,15,10,50,50,1,11,1,603801.5300634757,636620.6224677505,603743.1296569814,486391.4690546582,646295.3724194549,430862.15140769456,684404.18032217,522580.0477204149,573362.1663292306,590501.1369198875,577856.1806361718,37701.506646335954,0.01818181818181818,0.01818181818181818,0.02,0.02,0.03636363636363636,0.04
10060,15,10,50,50,1,12,1,634218.7400320943,556455.4235486209,554243.674933644,435120.53595287516,591314.2513754102,537316.4675389047,695017.6294663558,576725.2790060767,577319.0878183921,556152.6386328571,571388.3728305231,37701.506646335954,0.0,0.0,0.0,0.0,0.0,0.0
10060,15,10,50,50,1,13,1,492900.04294462386,628848.5727322,513268.45051404304,439148.9015930508,558893.0204752758,501975.00257733534,493656.42117995396,713112.7462961343,555869.0665248439,625849.6933380609,552352.1918175521,37701.506646335954,0.0,0.0,0.0,0.0,0.0,0.0
10060,15,10,50,50,1,14,1,498610.3620002678,532066.686436259,569385.3493737518,444246.97862549755,507920.2407830636,548825.91709065,724405.7804095962,533656.4318308707,444216.91434822377,533916.0026828698,533725.066358105,37701.506646335954,0.014285714285714285,0.014285714285714285,0.02,0.02,0.02857142857142857,0.04
