n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd,cost,cr,cost sd,cr sd
12020,15,20,50,2000,10,10,1,1200889.813726319,1145898.4128654446,1182551.7602084144,1202387.5530489935,1254245.7854325376,1161125.7655105074,1269433.4401664822,1255243.7276345617,1190817.2605771832,1169014.1694416355,1203160.7688612079,283892.26287079364,0.9924900000000001,0.99685,0.9924900000000001,0.99685,1203160.7688612079,0.353,0.004008603248015454,0.004008603248015454,0.002757263135792446,40631.43879035316
12020,15,20,50,2000,10,11,1,1164945.3687321532,1133294.8187097237,1162094.5556932122,1169406.4164380983,1195310.8963268013,1143087.811791069,1188894.3045773308,1184363.445217051,1168628.3375206362,1171362.6183417581,1168138.8573347835,283892.26287079364,0.9933200000000001,0.9963999999999998,0.9933200000000001,0.9963999999999998,1168138.8573347835,0.388,0.0021065611787935493,0.0021065611787935493,0.0015459624833740163,18256.44636686313
12020,15,20,50,2000,10,12,1,1146530.0615956648,1152191.7251230336,1130090.3786890414,1138215.2513376875,1163755.9374666002,1133199.74431154,1155616.0574759701,1189714.0995613046,1170683.859792788,1144432.3981694332,1152442.9513523062,283892.26287079364,0.9933500000000001,0.9970000000000001,0.9933500000000001,0.9970000000000001,1152442.9513523062,0.397,0.0014172155799313173,0.0014172155799313173,0.0008944271909999353,17411.151020595462
12020,15,20,50,2000,10,13,1,1125298.5940893702,1065459.246252684,1110434.2428476156,1093595.233354936,1139065.1726929233,1117459.610849532,1124084.442278176,1134229.3676465242,1144479.3573750728,1083264.8722029123,1113737.0139589745,283892.26287079364,0.9934600000000001,0.99665,0.9934600000000001,0.99665,1113737.0139589745,0.44699999999999995,0.0016457217261736513,0.0016457217261736513,0.0011191514642799653,24366.031477412525
12020,15,20,50,2000,10,14,1,1096760.0210230353,1039140.0970374724,1068209.0887924968,1074312.814006581,1097181.7340146878,1090207.1014241304,1098273.8376310884,1094404.9915358436,1079018.0812346204,1032628.7587032488,1077013.6525403208,283892.26287079364,0.99473,0.9974000000000001,0.99473,0.9974000000000001,1077013.6525403208,0.477,0.0014014635207524864,0.0014014635207524864,0.001410673597966588,22843.925729903087
12020,15,20,50,2000,10,15,1,995800.4479636637,1066312.2213268839,1051820.7118789803,1020154.4765958491,1115238.8655794803,1138215.765366766,1088013.157151355,1111159.6394375667,1072884.8525603737,1074269.0768527961,1073386.9214713715,283892.26287079364,0.9939600000000001,0.9973000000000001,0.9939600000000001,0.9973000000000001,1073386.9214713715,0.479,0.0018095303258028024,0.0018095303258028024,0.0014525839046333918,41188.11276032846
12020,15,20,50,2000,10,16,1,1033839.4448736937,1040245.7032870738,1004412.6609428849,1065263.378600303,1083811.4004485365,1016632.6432406396,1030750.9826842252,1089416.6396049254,1066185.6904325217,999535.846762072,1043009.4390876876,283892.26287079364,0.99398,0.9976499999999999,0.99398,0.9976499999999999,1043009.4390876876,0.501,0.0021371944226017303,0.0021371944226017303,0.0013425721582097574,30279.037989729895
12020,15,20,50,2000,10,17,1,1014465.1609764856,1042629.3761857987,980847.3271058844,1044752.8140022929,1008740.770891124,1025651.3519558972,1045440.6011808033,1032699.121470874,1039640.7829269476,1011532.3690483231,1024639.9675744431,283892.26287079364,0.9937400000000002,0.9967,0.9937400000000002,0.9967,1024639.9675744431,0.53,0.0019126944345608662,0.0019126944345608662,0.0018055470085267884,19742.656194106843
12020,15,20,50,2000,10,18,1,934130.0602729019,1001351.1279819201,993954.1331150935,992207.334167858,1021263.7992591442,1003041.8370598452,1028348.3629119825,1040882.4267613469,959572.3602824208,1056349.961896257,1003110.1403708771,283892.26287079364,0.99383,0.9967500000000001,0.99383,0.9967500000000001,1003110.1403708771,0.5469999999999999,0.0019240841977418647,0.0019240841977418647,0.0019137659209004735,34766.85146879583
12020,15,20,50,2000,10,19,1,1004235.4286339462,980002.4030315084,965707.0468952075,938899.3282554143,962422.2042021614,1024021.5897593262,984520.0222957872,1029568.2627676477,986301.1562650629,1041674.6145460538,991735.2056652114,283892.26287079364,0.9936299999999999,0.99685,0.9936299999999999,0.99685,991735.2056652114,0.566,0.0016529065309327329,0.0016529065309327329,0.001184271928232694,31099.106752761367
