n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,2,10,50,25,1,10,1,34563.30304917889,34021.436299058034,23630.79812642279,33927.0632205612,32456.558449446904,29414.772795495293,26844.9734230032,29121.740568392997,28939.11816944984,30879.92523622333,30379.968933723245,12472.72260237232,0.7700000000000001,0.9100000000000001,0.7700000000000001,0.9100000000000001,0.035777087639996666,0.035777087639996666
10035,2,10,50,25,1,11,1,25179.56382868792,22846.875235682026,23822.02979800433,24233.95836179592,19934.199372594612,28849.577308406704,19801.62983022079,23059.71870117121,26116.54297885138,24476.383037621534,23832.04784530364,12472.72260237232,0.7336363636363636,0.8636363636363636,0.807,0.9500000000000002,0.022654428717049282,0.024919871588754233
10035,2,10,50,25,1,12,1,22138.539682417195,24730.898293747487,24062.393706123567,22258.764627617034,23542.601944648035,22756.1624100564,20925.641156232603,23034.76794214829,25342.42444215697,19891.431344588702,22868.362554973628,12472.72260237232,0.7099999999999999,0.825,0.8520000000000001,0.99,0.024944382578492925,0.029933259094191523
10035,2,10,50,25,1,13,1,19626.337524671522,17854.49449084627,15939.598871974787,19965.941965896927,19735.590559094773,18103.311364934136,18401.095792267737,16831.99499236313,18906.032319845068,17388.63651814314,18275.30344000375,12472.72260237232,0.6815384615384616,0.7692307692307693,0.8860000000000001,1.0,0.018268218595442934,0.023748684174075853
10035,2,10,50,25,1,14,1,18282.54842879234,18086.239058887943,19258.8748098726,17681.564355400267,16927.183747693478,15942.498193548041,17222.984447236417,16153.316064676013,16374.226381070399,18701.716832818707,17463.115231999618,12472.72260237232,0.6407142857142858,0.7071428571428572,0.8970000000000002,0.99,0.01836422876026066,0.025709920264364843
10035,15,10,50,25,1,10,1,101347.15082135962,132683.13250318752,114799.83507059088,147407.19049750376,138435.4588321916,130046.76497972896,129687.91272281118,154046.60434485367,101255.81472066152,169781.43036552804,131949.12948584167,37914.08534992307,0.008,0.06999999999999999,0.008,0.06999999999999999,0.005999999999999999,0.005999999999999999
10035,15,10,50,25,1,11,1,76684.25245747535,83727.15463531375,89356.95195441668,113250.56685428978,106781.00995890067,100411.80873084368,63069.24269895748,85098.44647177882,94001.29079922305,88891.59396149193,90127.23185226912,37914.08534992307,0.002727272727272727,0.02727272727272727,0.003,0.030000000000000006,0.004165977904505309,0.0045825756949558405
10035,15,10,50,25,1,12,1,74229.62703507692,95338.74097381392,74204.48741288912,65213.852545687536,52978.34423775944,74765.88450235076,75407.18926006477,65294.646266678,51908.211139114064,89085.12747780429,71842.61108512388,37914.08534992307,0.005833333333333333,0.041666666666666664,0.007000000000000001,0.05,0.0065085413965888786,0.0078102496759066544
10035,15,10,50,25,1,13,1,51991.35806813006,59691.497290094056,52549.34401794903,53163.4786230317,73684.9524160111,52577.74400497666,61079.535294557005,52960.69277035985,53176.751152560966,52299.41404808339,56317.47676857539,37914.08534992307,0.003076923076923077,0.03076923076923077,0.004,0.04,0.003768445758127966,0.004898979485566357
10035,15,10,50,25,1,14,1,52126.25779608903,52079.02678535386,52370.324344258464,52704.63888065451,52676.74952124168,62992.17076074303,52530.21218131172,52318.53940046428,52100.25201871026,52687.516554159796,53458.56882429866,37914.08534992307,0.0014285714285714286,0.014285714285714285,0.002,0.02,0.002857142857142857,0.004
10060,2,10,50,50,1,10,1,24161.162355834756,24379.664172615026,25445.214631343377,38396.26880670061,29382.501829054156,31197.942564162997,31210.065899075744,24208.134782898313,31904.32054164082,27994.536705937884,28827.981228926372,12303.333190309433,0.7936363636363637,0.940909090909091,0.7960000000000002,0.9500000000000002,0.030104501187289905,0.03261901286060022
10060,2,10,50,50,1,11,1,27713.08797416201,25299.52291627248,21805.637990136853,28664.651116618053,26197.205268270198,30312.655294038275,34401.96298980554,26604.766993479123,28223.06529613241,28064.950056593247,27728.750589550822,12303.333190309433,0.7479545454545455,0.8545454545454545,0.8260000000000002,0.9400000000000001,0.02375951310128044,0.031685959035509706
10060,2,10,50,50,1,12,1,18610.026255954122,20894.121429194453,16292.403965756108,19188.861385411637,21812.92086471162,21664.00371043277,21537.09788079568,19161.30377398356,20508.874179735925,22236.212197059718,20190.582564303557,12303.333190309433,0.7190384615384614,0.825,0.8650000000000002,0.99,0.039849991977640505,0.050249378105604474
10060,2,10,50,50,1,13,1,17100.583087503073,18761.660235569485,16076.542067506865,20786.01142620177,18191.166886769857,21153.865852007973,23853.279543677127,17913.043340621713,16193.564893334333,18661.69024656539,18869.140757975758,12303.333190309433,0.6775274725274727,0.7692307692307693,0.882,1.0,0.015572731377793303,0.02039607805437118
10060,2,10,50,50,1,14,1,17896.743533533292,16353.218441375522,15292.339892459388,18322.591800526214,17356.139379634813,15210.973017194643,17360.226082872116,17990.51605031578,16044.871209621397,17751.07809246457,16957.869749999772,12303.333190309433,0.6459523809523812,0.7142857142857143,0.9050000000000002,1.0,0.01444553458296905,0.020615528128088343
10060,15,10,50,50,1,10,1,121173.58555398653,98750.91736044709,137868.96317619822,135234.16267268738,118137.67418925853,151670.40944186278,161989.9787617045,81173.49426908823,128975.64744960598,117091.75570673635,125206.65885815755,37701.506646335954,0.004,0.030000000000000006,0.004,0.030000000000000006,0.0066332495807108,0.0066332495807108
10060,15,10,50,50,1,11,1,106160.87335464478,101508.47418901537,64491.79127456892,103676.19431061555,100267.05906121238,53137.061261195144,66662.22791776761,84450.43247335537,104244.42392444315,109707.34480695885,89430.5882573777,37701.506646335954,0.0036363636363636364,0.02727272727272727,0.004,0.030000000000000006,0.006030226891555273,0.0066332495807108005
10060,15,10,50,50,1,12,1,54501.40907471885,77603.37204190859,52877.50457905039,79981.27040619249,53069.140148482125,73754.0676345521,62994.477456328066,53101.79286216453,64405.72196599222,52722.61339862074,62501.13695680101,37701.506646335954,0.003333333333333333,0.03333333333333333,0.004,0.04,0.004082482904638631,0.004898979485566357
10060,15,10,50,50,1,13,1,53654.91039680946,52402.03804476596,52749.394951090566,62242.58958186391,52848.88899857311,63717.61368935221,51314.68175014855,52696.946009435844,52382.805591788034,53085.586345197706,54709.545535902536,37701.506646335954,0.0038461538461538464,0.023076923076923078,0.005,0.030000000000000006,0.0070919572748406835,0.009219544457292889
10060,15,10,50,50,1,14,1,73593.39757718028,51976.47353541908,62000.4263103523,52071.64993215914,52087.70309478669,51788.67642119042,51726.16930279678,51973.80383791933,51316.619568158174,52488.69076516571,55102.36103451279,37701.506646335954,0.005,0.04285714285714285,0.006999999999999999,0.06,0.004573660169594892,0.006403124237432849
