n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd,cost,cr,cost sd,cr sd
12020,15,20,50,2000,10,10,1.0,1427452.8698439803,1421771.182751807,1442745.3944276026,1455713.670022492,1493590.32544559,1446977.4077246655,1476372.4345992852,1491175.758589939,1480534.1770565766,1492205.5139641787,1462853.8734426117,283892.26287079364,0.9360100000000001,0.9577,0.9360100000000001,0.9577,1462853.8734426117,0.32699999999999996,0.010757178998231776,0.010757178998231776,0.008605811989580077,25984.87294566458
12020,15,20,50,2000,10,11,1.0,1371348.4063224015,1455146.0282213502,1380113.855952321,1398774.0303906002,1454507.0215165322,1367632.7115945355,1445477.0093773573,1413019.5214136462,1415758.1664311972,1375334.7961142287,1407711.154733417,283892.26287079364,0.94249,0.9612,0.94249,0.9612,1407711.154733417,0.379,0.012975550084678475,0.012975550084678475,0.013755362590640788,32828.88372648726
12020,15,20,50,2000,10,12,1.0,1357093.601327583,1346247.1598806717,1332596.0211506176,1382935.4525589056,1432533.9861070537,1377965.1837927622,1426445.3064563428,1396612.9761193602,1415207.7604382432,1454104.2116161413,1392174.165944768,283892.26287079364,0.9406000000000001,0.9612,0.9406000000000001,0.9612,1392174.165944768,0.378,0.017797134600828268,0.017797134600828268,0.01011978260636068,37902.17204754544
12020,15,20,50,2000,10,13,1.0,1343054.4203897647,1340074.9109617206,1356944.0860689455,1290856.3867518764,1455080.0158513866,1378711.6029272457,1370670.0087881426,1401117.4880332656,1405698.3492547632,1363961.2674522786,1370616.853647939,283892.26287079364,0.94206,0.9591,0.94206,0.9591,1370616.853647939,0.396,0.016654200671302154,0.016654200671302154,0.01469149413776557,42007.17208192328
12020,15,20,50,2000,10,14,1.0,1330451.38269128,1269448.4032035521,1385146.67437524,1341112.363290532,1353446.5925275034,1388040.7519448213,1332100.7443853202,1401941.6306448132,1318795.5611155664,1354240.3433578298,1347472.444753646,283892.26287079364,0.9437299999999998,0.9667000000000001,0.9437299999999998,0.9667000000000001,1347472.444753646,0.426,0.012961562405821312,0.012961562405821312,0.010030453628824572,36864.74373692263
12020,15,20,50,2000,10,15,1.0,1320611.6755708281,1349992.362214037,1299438.4796930952,1253236.8404927694,1375424.3391117905,1324562.9218913626,1370626.6050704122,1325727.9906468322,1356933.4548968305,1335229.5949109574,1331178.4264498912,283892.26287079364,0.9450499999999998,0.9620000000000001,0.9450499999999998,0.9620000000000001,1331178.4264498912,0.437,0.01754863242534872,0.01754863242534872,0.013630847369111009,34372.95540928064
12020,15,20,50,2000,10,16,1.0,1296368.5104376725,1281749.88658734,1300259.381693126,1312587.3660564274,1372002.6278472191,1280176.2541400162,1342659.9816326506,1309902.6215551232,1257935.9698100935,1294868.3667302537,1304851.096648992,283892.26287079364,0.9476899999999999,0.96495,0.9476899999999999,0.96495,1304851.096648992,0.45,0.01592654702061938,0.01592654702061938,0.011589758409906581,30919.966997653493
12020,15,20,50,2000,10,17,1.0,1289680.045070604,1317005.6740105941,1330017.5830182966,1242142.9773462634,1302702.306492697,1205768.639650752,1280923.736142908,1303766.505888603,1280001.1924414262,1327679.3275100843,1287968.798757223,283892.26287079364,0.9477500000000001,0.9708499999999999,0.9477500000000001,0.9708499999999999,1287968.798757223,0.4720000000000001,0.011929061153334768,0.011929061153334768,0.00559486371594519,36915.75051878616
12020,15,20,50,2000,10,18,1.0,1256490.3388272624,1224079.4405298983,1207242.939561969,1279167.0893793625,1267738.6683756239,1213366.918623335,1282809.5244268386,1311873.0511510621,1236515.7848290643,1264078.8797414624,1254336.2635445877,283892.26287079364,0.9504999999999999,0.96865,0.9504999999999999,0.96865,1254336.2635445877,0.508,0.013911649794327045,0.013911649794327045,0.010606719568273708,31853.217543157785
12020,15,20,50,2000,10,19,1.0,1259660.834134065,1217025.4638138723,1263183.3597211982,1247078.1069666757,1230525.4557463285,1214635.3176725865,1291589.7727538147,1256567.7308192817,1197365.5735849962,1241123.124445371,1241875.473965819,283892.26287079364,0.9505899999999998,0.9718,0.9505899999999998,0.9718,1241875.473965819,0.518,0.01172573665063309,0.01172573665063309,0.008295179322956205,26372.06027593674
