n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,15,10,50,25,1,10,0.5,38037.94059619412,67687.71686768816,134560.68654695657,74101.54261805421,73294.9000655258,137036.54361186855,142687.9692219553,98280.86788408582,64319.039666256715,38081.76958681217,86808.89766653973,37914.08534992307,1.0,1.0,1.0,1.0,0.0,0.0
10035,15,10,50,25,1,11,0.5,37935.816577912825,74330.40519674505,68449.86105321534,37934.06737607264,79420.35361831052,37872.19646144479,37913.42156678417,38005.44201827021,37967.87731024065,74954.06555184211,52478.35067308382,37914.08534992307,0.9973333333333333,1.0,0.9973333333333333,1.0,0.005333333333333324,0.005333333333333324
10035,15,10,50,25,1,12,0.5,37853.21536099335,37791.38755851334,37924.03402232335,79594.21418567224,37960.42994746801,37803.76575052613,37826.44023066244,37903.44008291797,37838.65098825837,37882.61364616538,42037.81917735005,37914.08534992307,0.9946666666666666,1.0,0.9946666666666666,1.0,0.006531972647421796,0.006531972647421796
10035,15,10,50,25,1,13,0.5,37762.24327589607,37692.198125835515,37836.45470796191,37769.68263307852,37830.40492211225,37677.80309503616,37725.21893566046,37802.61635881893,37776.379108185814,37779.44001701213,37765.24411795977,37914.08534992307,0.9946666666666667,1.0,0.9946666666666667,1.0,0.006531972647421796,0.006531972647421796
10035,15,10,50,25,1,14,0.5,37644.10514806953,37630.119117072434,37762.30193991835,37651.93974841863,37737.82455634954,37605.00625670149,37649.43282872982,37722.2742242458,37699.809735679904,37711.960707326936,37681.47742625124,37914.08534992307,0.9933333333333334,1.0,0.9933333333333334,1.0,0.008944271909999166,0.008944271909999166
10035,15,10,50,25,1,10,1,38037.94059619412,154455.7687466236,114007.2862505584,198276.86188599188,109066.9423039435,108035.78152035899,107924.49624340197,80743.7054269516,64320.681516562414,183896.2401672213,115876.5704657808,37914.08534992307,0.9933333333333334,1.0,0.9933333333333334,1.0,0.013662601021279482,0.013662601021279482
10035,15,10,50,25,1,11,1,37936.63167980141,92273.77031823529,38026.57304044747,79671.43686253985,73193.12066771445,110437.18518113985,68332.30697450486,38038.082355548344,37935.82059332264,37983.976571289495,61382.89042445437,37914.08534992307,0.9973333333333333,1.0,0.9973333333333333,1.0,0.005333333333333324,0.005333333333333324
10035,15,10,50,25,1,12,1,37876.02739884846,37820.3420235095,37888.928394030576,37836.50111382033,37920.62071282341,74078.50356493778,37822.66762645677,37907.61228753412,37873.66547532322,37878.80377703478,41490.36723743189,37914.08534992307,0.9946666666666667,1.0,0.9946666666666667,1.0,0.006531972647421796,0.006531972647421796
10035,15,10,50,25,1,13,1,37808.24420515261,37730.02053833558,37827.09541687983,37741.11563870605,37826.504129710804,37679.95753219838,37711.64321858668,37802.04918101036,37797.153313655384,37856.98424714353,37778.07674213792,37914.08534992307,0.9893333333333333,1.0,0.9893333333333333,1.0,0.011623730516108486,0.011623730516108486
10035,15,10,50,25,1,14,1,37641.354940340636,37614.64741534906,37739.17389337844,37631.743747907196,37751.76782840008,37627.464368090325,37676.93429460379,37709.546465118256,37698.25084688037,37805.17275815293,37689.6056558221,37914.08534992307,0.9893333333333333,1.0,0.9893333333333333,1.0,0.015549205052920803,0.015549205052920803
10035,15,10,50,25,1,10,2,141524.33117247417,92392.13049593654,109761.07075326359,75077.22010968777,195718.73928222677,104295.5518929558,77330.99503140143,151953.41329295162,103480.33476035623,38081.76958681217,108961.55563780661,37914.08534992307,0.9933333333333334,1.0,0.9933333333333334,1.0,0.008944271909999166,0.008944271909999166
10035,15,10,50,25,1,11,2,69345.60037805936,99028.45910032868,37995.43851794638,126513.2836933224,106923.03220014018,68200.6201159889,99276.5033631607,76533.85342961182,64216.46371308336,37980.74883603514,78601.40033476769,37914.08534992307,0.9986666666666666,1.0,0.9986666666666666,1.0,0.003999999999999992,0.003999999999999992
10035,15,10,50,25,1,12,2,69263.60599696968,62500.855766219436,37898.79814776211,37837.14487250015,37928.6086226691,37769.28785640074,37847.275902371795,37920.354699765616,37840.63809085322,37884.810256018514,43469.138021153034,37914.08534992307,0.9960000000000001,1.0,0.9960000000000001,1.0,0.006110100926607775,0.006110100926607775
10035,15,10,50,25,1,13,2,37732.7082513664,37700.65829314618,37866.1116330355,37743.436051760305,37838.05661112512,37699.60212089906,37747.922271711635,37845.203103814485,37742.827317698466,37785.430881168264,37770.19565357255,37914.08534992307,0.9933333333333332,1.0,0.9933333333333332,1.0,0.008944271909999166,0.008944271909999166
10035,15,10,50,25,1,14,2,37672.842916258924,37621.634221447166,37708.04841991254,37638.014347145254,37763.593662546686,37639.20612871937,37664.732992798905,37722.25300517347,37636.5899483086,37696.764740756946,37676.368038306784,37914.08534992307,0.9933333333333334,1.0,0.9933333333333334,1.0,0.008944271909999166,0.008944271909999166
