n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd
10035,2,10,50,25,1,10,1,16736.87516368391,22531.316277519454,25198.54230727765,19510.180438100568,15450.317350008596,15979.870355003286,21715.613147640765,20568.884453564686,19098.399142590362,12632.87016263572,18942.286879802497,12472.72260237232,0.8706666666666667,0.916,0.8706666666666667,0.916,0.0828492607088319,0.0828492607088319
10035,2,10,50,25,1,11,1,20039.05681762123,13233.037893973944,21911.203151744976,14717.333244865205,19275.01096167864,22772.206177712385,15629.728973438896,13978.144411465151,23643.77148579142,19320.353071801463,18451.98461900933,12472.72260237232,0.8573333333333334,0.9239999999999998,0.8573333333333334,0.9239999999999998,0.09578680029686298,0.09578680029686298
10035,2,10,50,25,1,12,1,18881.300938475975,16351.028129315986,14191.8476831588,12139.32717007078,13602.573970759307,12184.210987915334,13975.722628314821,13731.615473003309,17086.298552343687,12138.106809013254,14428.203234237124,12472.72260237232,0.9199999999999999,0.9560000000000001,0.9199999999999999,0.9560000000000001,0.05497474167490215,0.05497474167490215
10035,2,10,50,25,1,13,1,11857.113912741654,12804.209075015466,11728.624484548718,14997.885273755775,14829.573360088589,13660.992452307672,13193.893365702004,11779.477425195199,14210.021051936657,14673.067848622488,13373.485824991421,12472.72260237232,0.9306666666666666,0.9560000000000001,0.9306666666666666,0.9560000000000001,0.040353989201124166,0.040353989201124166
10035,2,10,50,25,1,14,1,11645.79925617743,11732.787307273391,11599.809865978925,11685.929203076956,16330.506442800544,11710.421653920066,13005.954911669147,11595.418155212048,11685.572072220157,14486.31760460863,12547.85164729373,12472.72260237232,0.9346666666666665,0.952,0.9346666666666665,0.952,0.03745219174716836,0.03745219174716836
10035,15,10,50,25,1,10,1,71514.33482043183,92377.17281764199,192595.1524681223,81167.51968747762,83604.56377261416,70168.70438895682,72578.90322767386,115169.04898682695,117684.20626569712,117361.25561465423,101422.08620500969,37914.08534992307,1.0,1.0,1.0,1.0,0.0,0.0
10035,15,10,50,25,1,11,1,37934.61330218803,67581.91840150476,37995.4729016188,37938.54970973675,74846.2264664528,68201.81748986572,77241.88344739053,68089.08367942911,37938.93058976283,37985.105960396926,54575.36019483461,37914.08534992307,0.9973333333333333,1.0,0.9973333333333333,1.0,0.005333333333333324,0.005333333333333324
10035,15,10,50,25,1,12,1,37834.028222825145,37827.94237504209,77753.36094976941,37867.3699352524,37930.783061980466,74068.80646239159,37845.4905514736,37904.70204221219,37843.06656821929,37882.58908792082,45475.8139257087,37914.08534992307,0.9960000000000001,1.0,0.9960000000000001,1.0,0.006110100926607775,0.006110100926607775
10035,15,10,50,25,1,13,1,37741.156536027454,37710.17855247345,37794.515649032626,37746.22181678734,37856.11658029506,37705.58326436211,37724.24769165976,37810.145872936366,37744.061550497914,37808.83365744425,37764.106117151634,37914.08534992307,0.9973333333333333,1.0,0.9973333333333333,1.0,0.005333333333333324,0.005333333333333324
10035,15,10,50,25,1,14,1,37717.65859114672,37623.84976815268,37753.99281611693,37676.57233223544,37774.186228630286,37602.64858396655,37654.8166493357,37834.140604992026,37647.959360870744,37733.48835323874,37701.93132886858,37914.08534992307,0.9839999999999998,0.9960000000000001,0.9839999999999998,0.9960000000000001,0.01436043948569202,0.01436043948569202
10060,2,10,50,50,1,10,1,16574.41779748285,28396.18447702246,28594.40997269656,21783.588074826926,30475.638558905037,20646.19669423591,35821.29900761021,19321.26059494299,30750.190064641207,18943.992177641772,25130.717742000594,12303.333190309433,0.7413333333333335,0.8320000000000001,0.7413333333333335,0.8320000000000001,0.13181805642627265,0.13181805642627265
10060,2,10,50,50,1,11,1,14675.306402550514,18743.37068324565,12740.360179131529,15306.466006734952,12261.350481718546,18942.11682846244,18474.73576189316,12154.51280133029,12265.462485037599,12279.792299600755,14784.347392970541,12303.333190309433,0.9039999999999999,0.9380000000000001,0.9039999999999999,0.9380000000000001,0.06519713695145415,0.06519713695145415
10060,2,10,50,50,1,12,1,13773.915297216292,15100.34466947181,12295.831209232658,11948.789261539569,12096.69607423911,13503.943242231717,12049.346206078912,12021.633414908394,14432.451135807083,19319.666416397333,13654.261692712287,12303.333190309433,0.9133333333333334,0.942,0.9133333333333334,0.942,0.05249338582674539,0.05249338582674539
10060,2,10,50,50,1,13,1,14735.248140246573,11856.940214994494,12445.278568567212,11713.162573256544,21301.573245691015,14861.103015217604,11904.681767007447,11757.550747927782,11782.132915385502,11944.431268914812,13430.2102457209,12303.333190309433,0.9106666666666667,0.9400000000000001,0.9106666666666667,0.9400000000000001,0.06580780095601636,0.06580780095601636
10060,2,10,50,50,1,14,1,11602.061582465705,13168.322873861174,11739.050510269226,11571.488340057622,11577.49626433703,11578.741518698835,11633.302992244813,11491.892363292141,11609.167196562683,14725.578389124528,12069.710203091376,12303.333190309433,0.93,0.9480000000000001,0.93,0.9480000000000001,0.03820994634908557,0.03820994634908557
10060,15,10,50,50,1,10,1,149092.37710707253,151517.70463856705,83694.28095438819,96618.80198812184,156584.79448773278,117221.19119370461,145920.81685303312,118287.61695390132,80719.83008884185,38047.74066788355,113770.5154933247,37701.506646335954,0.9973333333333333,1.0,0.9973333333333333,1.0,0.004422166387140535,0.004422166387140535
10060,15,10,50,50,1,11,1,37914.118989902236,37867.57672421645,78357.54652402735,164835.22141202018,37946.07975718351,37845.25601024368,37827.40277965928,37817.80585758504,37808.358351578754,37979.7020160868,54619.90684225032,37701.506646335954,0.9960000000000001,1.0,0.9960000000000001,1.0,0.00800000000000002,0.00800000000000002
10060,15,10,50,50,1,12,1,37845.202496928796,37767.17352879093,37843.186490088476,37870.43178721465,37814.70456481881,37780.92144113496,78066.41577778496,37783.279083727546,37743.4201078219,37846.002489022685,41836.07377673338,37701.506646335954,0.992,1.0,0.992,1.0,0.009797958971132706,0.009797958971132706
10060,15,10,50,50,1,13,1,37794.78157982079,37667.14596505329,37703.62919320487,37843.28292236983,37810.821074472995,37675.3134090172,37635.51219199673,37622.728755759,37607.376965240386,37787.73001835391,37714.8322075289,37701.506646335954,0.994,1.0,0.994,1.0,0.0069602043392737,0.0069602043392737
10060,15,10,50,50,1,14,1,37626.97425992291,37721.174708137005,37656.49483265634,37731.550098859014,37622.146615060774,37585.0528650145,37537.462127843486,37532.419568830715,37562.88079535592,37741.9434922495,37631.809936393016,37701.506646335954,0.992,0.998,0.992,0.998,0.008326663997864539,0.008326663997864539
